,player,team,club,age_years,age_float,age,minutes_90s,tackles,tackles_won,succesful_tackles_pct,tackles_def_3rd,tackles_mid_3rd,dribble_tackles,dribbled_past,dribbles_vs,dribble_tackles_pct,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_pen_area_pct,touches_def_3rd,touches_mid_3rd,miscontrols,dispossessed,passes_received,passes_completed,passes,passes_pct,passes_progressive_distance,assisted_shots,passes_into_final_third,progressive_passes,passes_dead,through_balls,passes_switches,passes_blocked,cards_yellow,cards_red,fouls,fouled,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,sca_fouled,sca_defense,gca_fouled,gca_defense
54,Dayot Upamecano,France,Bayern Munich,24,24.1425,24-052,5.3,11.0,7,0.6364,10.0,1.0,6.0,0.0,6.0,100.0,5.0,4.0,1.0,6,17.0,13.0,0.0,393.0,26.0,0.0662,158.0,234.0,1.0,1.0,291.0,314.0,351.0,89.5,2194.0,2.0,28.0,19.0,5.0,0.0,7.0,3.0,0,0,4,3,1.0,0,33.0,7.0,7.0,50.0,0.0,0.0,0.0,0.0
55,DeAndre Yedlin,United States,Inter Miami,29,29.4438,29-162,0.4,2.0,1,0.5,1.0,1.0,2.0,0.0,2.0,100.0,0.0,0.0,0.0,0,2.0,2.0,0.0,32.0,2.0,0.0625,8.0,10.0,1.0,0.0,15.0,19.0,28.0,67.9,115.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0,0,2,0,0.0,0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0
56,Dejan Lovren,Croatia,Zenit,33,33.4548,33-166,6.7,7.0,2,0.2857,5.0,1.0,3.0,2.0,5.0,60.0,7.0,5.0,2.0,6,13.0,29.0,0.0,515.0,55.0,0.1068,243.0,264.0,1.0,0.0,381.0,405.0,460.0,88.0,2519.0,1.0,14.0,16.0,15.0,0.0,9.0,4.0,1,0,2,5,0.0,0,31.0,17.0,6.0,73.9,0.0,0.0,0.0,0.0
57,Denis Odoi,Ghana,Club Brugge,34,34.5616,34-205,0.1,1.0,0,0.0,1.0,0.0,1.0,0.0,1.0,100.0,2.0,2.0,0.0,0,1.0,2.0,0.0,7.0,5.0,0.7143,5.0,2.0,0.0,0.0,1.0,2.0,2.0,100.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
58,Denzel Dumfries,Netherlands,Inter,26,26.6685,26-244,5.3,8.0,5,0.625,7.0,1.0,5.0,1.0,6.0,83.3,5.0,1.0,4.0,7,15.0,6.0,0.0,274.0,7.0,0.0255,54.0,132.0,13.0,7.0,169.0,149.0,217.0,68.7,742.0,2.0,7.0,15.0,50.0,0.0,0.0,8.0,2,1,17,7,1.0,0,16.0,9.0,10.0,47.4,0.0,0.0,0.0,0.0
59,Diego Godín,Uruguay,Vélez Sarsf,36,36.8356,36-305,1.7,0.0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1.0,9.0,0.0,116.0,5.0,0.0431,43.0,72.0,0.0,0.0,78.0,87.0,103.0,84.5,515.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,0,0,0,1,0.0,0,6.0,8.0,2.0,80.0,0.0,0.0,0.0,0.0
60,Diogo Dalot,Portugal,Manchester Utd,23,23.7534,23-275,2.9,8.0,6,0.75,7.0,1.0,8.0,0.0,8.0,100.0,7.0,2.0,5.0,2,10.0,1.0,0.0,172.0,7.0,0.0407,45.0,80.0,2.0,1.0,104.0,112.0,147.0,76.2,522.0,4.0,7.0,7.0,19.0,0.0,2.0,2.0,0,0,1,1,0.0,0,13.0,6.0,3.0,66.7,1.0,0.0,0.0,0.0
61,Dylan Bronn,Tunisia,Salernitana,27,27.4986,27-182,1.8,4.0,2,0.5,1.0,2.0,3.0,0.0,3.0,100.0,2.0,1.0,1.0,0,4.0,0.0,0.0,104.0,2.0,0.0192,40.0,53.0,0.0,2.0,70.0,75.0,98.0,76.5,393.0,0.0,4.0,5.0,8.0,1.0,1.0,2.0,0,0,1,1,0.0,0,7.0,2.0,4.0,33.3,0.0,0.0,0.0,0.0
62,Eduardo Camavinga,France,Real Madrid,20,20.1041,20-038,1.6,14.0,9,0.6429,7.0,5.0,4.0,1.0,5.0,80.0,4.0,0.0,4.0,3,17.0,6.0,0.0,138.0,10.0,0.0725,41.0,62.0,3.0,3.0,75.0,88.0,100.0,88.0,421.0,3.0,3.0,3.0,13.0,0.0,0.0,3.0,0,0,2,8,0.0,0,15.0,2.0,0.0,100.0,0.0,1.0,0.0,0.0
63,Enzo Ebosse,Cameroon,Udinese,23,23.7726,23-282,1.0,4.0,2,0.5,4.0,0.0,1.0,0.0,1.0,100.0,1.0,0.0,1.0,0,4.0,5.0,0.0,49.0,9.0,0.1837,28.0,21.0,0.0,0.0,29.0,34.0,38.0,89.5,283.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,0,0,0,0,0.0,0,1.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0
